Features,Importances
Age,0.11484440706476029
InterestRate,0.07367535744322959
Income,0.047098402018502926
MonthsEmployed,0.03906644238856181
LoanAmount,0.03502943650126156
EmploymentType,0.007148864592094184
Education,0.004751892346509678
CreditScore,0.004247266610597133
HasDependents,0.004079058031959626
HasCoSigner,0.0035744322960471033
NumCreditLines,0.0034482758620689724
MaritalStatus,0.0029436501261564272
HasMortgage,0.0015979814970563445
LoanPurpose,0.0009251471825062918
DTIRatio,-0.0010092514718250678
LoanTerm,-0.0015979814970563666
