Features,Importances
Age,0.1186524129093178
MonthsEmployed,0.035079081374565856
MonthlyIncome,0.008275722523859353
tenure_age_ratio,0.008147573601321989
HasCoSigner,0.004788722894816755
EmploymentType,0.0030081273395609733
HasDependents,0.002394361447408411
Post_DTI,0.002367382726874245
CreditScore,0.0005867871716184414
MaritalStatus,0.0005800424914848889
NumCreditLines,0.0004721276093481386
DTIRatio,0.0004046808080127251
LoanPurpose,0.0002360638046741137
Education,0.00021582976427347855
HasMortgage,0.000195595723872799
age_post_dti,-0.0010993828617677393
debt_stress,-0.00814082892118837
EMI,-0.012787913533200657
